Local authority name,Local authority code,Local authority website URL,Service name,Service URL,Operator name,Operator URL,Catalogue URL,Android app URL,iOS app URL,Email,Phone,New member URL,Libraries URL,Mobile libraries URL,Home service URL,Computer access URL,Wifi access URL,Fees and charges URL,Child fine,Adult fine,Fine interval,Fine notes,Fine free URL,Childrens service URL,Instagram name,Facebook page name,Twitter handle,YouTube ID,Flickr ID,Events URL,Eventbrite ID,Google calendar ID,Blog URL,Blog RSS feed,News URL,News signup URL,News RSS feed,Podcast name,Podcast URL,Podcast RSS feed,Borrowbox ID,Borrowbox offer,Overdrive name,Overdrive offer,RBDigital name,RBDigital offer,cloudLibrary name,cloudLibrary offer,uLibrary name,uLibrary offer,Ebook info URL,Audiobook info URL,Emagazines info URL,Ebook supplier,Ebook URL,Audiobook supplier,Audiobook URL,Library management system supplier,Library management system,Online catalogue system,Events,Time to read library,Library notification,Services,Green library
Aberdeen City,S12000033,https://www.aberdeencity.gov.uk/services/libraries-and-archives,Aberdeen City Libraries,https://www.aberdeencity.gov.uk/services/libraries-and-archives,,,https://aberdeencity.spydus.co.uk,https://play.google.com/store/apps/details?id=uk.co.solus.aberdeencitylibraries,https://apps.apple.com/gb/app/aberdeen-city-libraries/id594424824,centrallibrary@aberdeencity.gov.uk,01224 652500,https://aberdeencity.spydus.co.uk/cgi-bin/spydus.exe/MSGTRN/WPAC/JOIN,https://www.aberdeencity.gov.uk/services/libraries-and-archives/find-my-local-library,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/library-services/home-library-service,https://www.aberdeencity.gov.uk/services/libraries-and-archives/free-internet-email-and-computer-access,https://www.aberdeencity.gov.uk/services/libraries-and-archives/free-internet-email-and-computer-access,https://www.aberdeencity.gov.uk/services/libraries-and-archives/using-library/fines-and-charges,£0.50,£0.50,Week,,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/children-and-young-people,aberdeencitylibraries,Aberdeen.City.Libraries,silvercitylibs,UCbkvfkYhz7hrwraMi6hYkqQ,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/library-events,,,,,,,,,,,6398,"Ebooks,Audiobooks",,,aberdeencity,"Audiobooks,Comics",,,,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/online-resources/ebooks-emagazines-and-newspapers,https://www.aberdeencity.gov.uk/services/libraries-and-archives/online-resources/ebooks-emagazines-and-newspapers,https://www.aberdeencity.gov.uk/services/libraries-and-archives/online-resources/ebooks-emagazines-and-newspapers,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/login.html?targetSite=mainPage.html&b2bSite=6398,RBDigital,https://aberdeencity.rbdigitalglobal.com/home,Civica,Spydus,Spydus,,,,,
Aberdeenshire,S12000034,https://www.aberdeenshire.gov.uk/live-life-aberdeenshire/,Live Life Aberdeenshire libraries,https://www.livelifeaberdeenshire.org.uk/libraries,,,https://aberdeenshire.spydus.co.uk,https://play.google.com/store/apps/details?id=com.civicalld.spydusmobile,https://apps.apple.com/gb/app/spydus-mobile/id657672156,alis.admin@aberdeenshire.gov.uk,01467532929,https://aberdeenshire.spydus.co.uk/cgi-bin/spydus.exe/MSGTRN/WPAC/JOIN,https://livelifeaberdeenshire.org.uk/libraries/local-libraries,https://www.livelifeaberdeenshire.org.uk/mobile-library-locator,https://livelifeaberdeenshire.org.uk/libraries/home-service, https://www.livelifeaberdeenshire.org.uk/libraries/technology-in-libraries,,https://www.livelifeaberdeenshire.org.uk/libraries/library-charges/,£0.00,£1.05,Week,,,,,AberdeenshireLibraries,onceuponashire,UCBUnlNFBWg24V7NUqxmFKzg,,https://aberdeenshire.spydus.co.uk/cgi-bin/spydus.exe/MSGTRN/WPAC/EVENTS?HOMEPRMS=EVSESPARAMS,,,,,,,,Overdue Finds,https://www.livelifeaberdeenshire.org.uk/live-life-aberdeenshire-podcasts/libraries-podcasts,,,,aberdeenshirelibraries,"Ebooks,Audiobooks",aberdeenshire,"Audiobooks,Magazines",,,,,https://www.livelifeaberdeenshire.org.uk/libraries/digital-landing-page/,https://www.livelifeaberdeenshire.org.uk/libraries/digital-landing-page/,https://www.livelifeaberdeenshire.org.uk/libraries/digital-landing-page/,Overdrive,https://aberdeenshirelibraries.overdrive.com,Overdrive,https://aberdeenshirelibraries.overdrive.com,Civica,Spydus,Spydus,,,,,checked
Angus,S12000041,https://www.angus.gov.uk/leisure_tourism_and_the_outdoors/libraries,ANGUSalive Libraries,https://www.angusalive.scot/libraries,ANGUSalive,https://angusalive.scot/,https://angus.spydus.co.uk,,,enquiries.libraries@angusalive.scot,01307492600,https://www.angusalive.scot/libraries/join-borrow-renew,https://www.angusalive.scot/libraries/visit-a-library,https://www.angusalive.scot/libraries/mobile-libraries-home-delivery,https://www.angusalive.scot/libraries/mobile-libraries-home-delivery,https://www.angusalive.scot/libraries,https://www.angusalive.scot/libraries,https://www.angusalive.scot/libraries/library-charges,£0.00,£0.00,,,,https://angus.spydus.co.uk/cgi-bin/spydus.exe/MSGTRN/KIDS/BSEARCH?HOMEPRMS=GENPARAMS,,ANGUSaliveLibraries,angusalive,UCSYkxnjv52uy9Wficv7n3pg,,https://www.angusalive.scot/libraries/activities,,,,,,,,,,,,,,,angus,"Ebooks,Audiobooks,Magazines,Comics",,,,,https://www.angusalive.scot/libraries/rbdigital/,https://www.angusalive.scot/libraries/rbdigital/,https://www.angusalive.scot/libraries/rbdigital/,RBDigital,https://angus.rbdigitalglobal.com,RBDigital,https://angus.rbdigitalglobal.com,Civica,Spydus,Spydus,,,,,
Argyll and Bute,S12000035,,,https://www.argyll-bute.gov.uk/community-life-and-leisure/libraries-and-archives,,,https://argyll-bute.spydus.co.uk,https://play.google.com/store/apps/details?id=com.civicalld.spydusmobile,https://apps.apple.com/gb/app/spydus-mobile/id657672156,enquiries@liveargyll.co.uk,01369 708 664,https://argyll-bute.spydus.co.uk/cgi-bin/spydus.exe/MSGTRN/WPAC/JOIN,https://liveargyll.co.uk/facilities/libraries,https://liveargyll.co.uk/facility/islay-mobile-library,,,,,£0.00,£0.00,,,,,liveargyll,liveargyll,LiveArgyll,,,,,,,,,,,,,,6388,"Ebooks,Audiobooks",,,,,,,,,https://liveargyll.co.uk/borrowbox/,https://liveargyll.co.uk/borrowbox/,,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=6388,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=6388,Civica,Spydus,Spydus,,,,,
Barking and Dagenham,E09000002,,,https://www.lbbd.gov.uk/libraries-and-local-history,,,https://llc.ent.sirsidynix.net.uk/client/en_GB/barking-and-dagenham,https://play.google.com/store/apps/details?id=uk.co.solus.LLC,https://apps.apple.com/gb/app/my-library-app/id1475794558,libraries@lbbd.gov.uk,0333 370 4700,https://www.lbbd.gov.uk/join-a-library,https://www.lbbd.gov.uk/local-libraries,,https://www.lbbd.gov.uk/home-library-service,https://www.lbbd.gov.uk/computers-internet-access-and-wi-fi,https://www.lbbd.gov.uk/computers-internet-access-and-wi-fi,https://www.lbbd.gov.uk/libraries-and-local-history/our-libraries/library-fees-and-charges,£0.36,£0.36,Day,,,https://www.lbbd.gov.uk/young-peoples-library-service,,,,,,https://www.lbbd.gov.uk/library-and-childrens-centre-events,,,,,,,,,,,,,llc,"Ebooks,Audiobooks,Comics",llc,"Audiobooks,Ebooks,Magazines,Comics",,,,,https://www.lbbd.gov.uk/online-resources,https://www.lbbd.gov.uk/online-resources,https://www.lbbd.gov.uk/online-resources,Overdrive,https://llc.overdrive.com,Overdrive,https://llc.overdrive.com,SirsiDynix,Symphony,Enterprise,,,,,checked
Barnet,E09000003,,,https://www.barnet.gov.uk/libraries,,,https://prism.librarymanagementcloud.co.uk/barnet,,,,020 8359 2000,https://prism.librarymanagementcloud.co.uk/barnet/join,https://www.barnet.gov.uk/libraries/find-your-local-library,https://www.barnet.gov.uk/libraries/find-your-local-library/mobile-library,,https://www.barnet.gov.uk/libraries/online-resources/computers-and-internet-wi-fi-and-usage,https://www.barnet.gov.uk/libraries/online-resources/computers-and-internet-wi-fi-and-usage,https://www.barnet.gov.uk/libraries/fines-charges-and-room-hire,£0.25,£0.25,Day,,,,,BarnetLibraries,BarnetLibraries,,,https://www.barnet.gov.uk/libraries/library-events,,,,,,,,,,,5950,"Ebooks,Audiobooks",barnet,"Ebooks,Audiobooks",barnet,Magazines,,,,,https://www.barnet.gov.uk/libraries/online-resources/ebooks-and-eaudiobooks,https://www.barnet.gov.uk/libraries/online-resources/ebooks-and-eaudiobooks,https://www.barnet.gov.uk/libraries/online-resources/ebooks-and-eaudiobooks,Overdrive,https://barnet.overdrive.com,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=5950,Capita,Alto,Prism,,,,,checked
Barnsley,E08000016,,,https://www.barnsley.gov.uk/services/libraries,,,https://prism.librarymanagementcloud.co.uk/barnsleymbc,,,,01226 773555,https://www.barnsley.gov.uk/services/libraries/join-the-library,https://www.barnsley.gov.uk/services/libraries/find-a-library,,https://www.barnsley.gov.uk/services/libraries/heart-of-the-community/home-library-service,https://www.barnsley.gov.uk/services/libraries/your-digital-hub,https://www.barnsley.gov.uk/services/libraries/your-digital-hub,https://www.barnsley.gov.uk/services/libraries/library-fees-and-charges,£0.00,£0.00,,,,https://www.barnsley.gov.uk/services/libraries/enriching-lives/childrens-library,barnsleylibraries,BarnsleyLibraries,barnsleylibs,,,https://www.barnsley.gov.uk/services/libraries/activities-and-events,,,,,,,,,,,,,barnsley,"Ebooks,Audiobooks",barnsley,Magazines,,,,,https://www.barnsley.gov.uk/services/libraries/your-digital-hub/ebooks-eaudio-and-digital-resources/,https://www.barnsley.gov.uk/services/libraries/your-digital-hub/ebooks-eaudio-and-digital-resources/,https://www.barnsley.gov.uk/services/libraries/your-digital-hub/ebooks-eaudio-and-digital-resources/,Overdrive,https://barnsley.overdrive.com/,Overdrive,https://barnsley.overdrive.com/,Capita,Alto,Prism,,,,,checked
Bath and North East Somerset,E06000022,,,https://beta.bathnes.gov.uk/library-and-information-services,,,https://www.librarieswest.org.uk,https://play.google.com/store/apps/details?id=uk.co.solus.librarieswest,https://itunes.apple.com/us/app/librarieswest/id935637390,councilconnect@bathnes.gov.uk,01225 394041,https://beta.bathnes.gov.uk/join-library-network,https://beta.bathnes.gov.uk/find-library-or-one-stop-shop,https://beta.bathnes.gov.uk/mobile-library-service,https://beta.bathnes.gov.uk/join-home-library-service,https://beta.bathnes.gov.uk/digital-facilities-and-resources,https://beta.bathnes.gov.uk/digital-facilities-and-resources,https://beta.bathnes.gov.uk/loan-periods-and-charges-library-items,£0.00,£0.00,,,,https://beta.bathnes.gov.uk/children-and-young-peoples-library-services,bathnes_libraries,BathnesLibraries1,BathnesL,,,,,,,,,,,,,,6363,Audiobooks,,,somerset,"Comics,Magazines,Audiobooks",LW,Ebooks,,,https://beta.bathnes.gov.uk/digital-facilities-and-resources,https://beta.bathnes.gov.uk/digital-facilities-and-resources,https://beta.bathnes.gov.uk/digital-facilities-and-resources,Bibliotheca,https://ebook.yourcloudlibrary.com/library/LW/Featured,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=6363,SirsiDynix,Symphony,Enterprise,,,,,
Bedford,E06000055,,,https://www.bedford.gov.uk/libraries,,,https://beds-arena.culturalservices.net/web/arena,https://play.google.com/store/apps/details?id=uk.co.solus.BedfordshireLibraries,https://itunes.apple.com/us/app/bedford-borough-central-bedfordshire/id1054454443,,01234 267422,https://virtual-library.culturalservices.net/cgi-bin/vlib.sh?enqtype=REGISTER,http://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.static/library_index.htm,https://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.beds_libraries/mobile_libraries.htm,https://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.beds_libraries/home_library.htm,https://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.beds_libraries/it_in_libraries.htm,https://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.beds_libraries/it_in_libraries.htm,https://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.beds_libraries/fines_charges_bbc.htm,£0.10,£0.35,Day,,,https://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.children_teenagers/whats_in_the_library_for_me.htm,,BedfordshireLibraries,bedslibraries,,,https://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.menus/whats_on_menu.htm,,,,,,,,,,,,,,,bedfordshire,"Ebooks,Audiobooks,Magazines",,,,,https://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.books_reading/ebooks.htm,https://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.books_reading/eaudio.htm,https://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.books_reading/emagazines.htm,RBDigital,https://bedfordshire.rbdigitalglobal.com,RBDigital,https://bedfordshire.rbdigitalglobal.com,Axiell,OpenGalaxy,Arena,Reading,,,,checked
Bexley,E09000004,,,https://www.bexley.gov.uk/services/library-services,,,https://arena.yourlondonlibrary.net/web/bexley,https://play.google.com/store/apps/details?id=uk.co.solus.bexleylibraries,https://apps.apple.com/app/id961574211,libraries@bexley.gov.uk,020 8303 7777,https://arena.yourlondonlibrary.net/web/bexley/joining-and-using-the-library,https://arena.yourlondonlibrary.net/web/bexley/libraries,,https://arena.yourlondonlibrary.net/web/bexley/home-library-service,https://arena.yourlondonlibrary.net/web/bexley/computers-wi-fi-and-printing,https://arena.yourlondonlibrary.net/web/bexley/computers-wi-fi-and-printing,https://arena.yourlondonlibrary.net/web/bexley/fees-and-charges,£0.40,£0.40,Day,Overdue notices will be sent out on the 8th day overdue. An administration fee for these reminder notices of £1.50 per letter and £1 per email will also be charged.,,https://arena.yourlondonlibrary.net/web/bexley/children,,bexleylibraries,bexleylibraries,,,https://arena.yourlondonlibrary.net/web/bexley/news-and-events,,,,,,,,,,,,,bexley,"Ebooks,Audiobooks",,,,,,,https://arena.yourlondonlibrary.net/web/bexley/ebooks,https://arena.yourlondonlibrary.net/web/bexley/eaudiobooks,https://arena.yourlondonlibrary.net/web/bexley/emagazines,Overdrive,https://bexley.overdrive.com,Overdrive,https://bexley.overdrive.com,Axiell,OpenGalaxy,Arena,,,,,
