name,code,postcode,address,website,email,opened,closed
Amlwch Library,W06000001,LL68 9EA,"Amlwch Library, Ffordd Parys, Amlwch, Anglesey, LL68 9EA, Wales",http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/amlwch-library/,mailto:kbxlh@anglesey.gov.uk,,
Beaumaris Library,W06000001,LL58 8AL,"Beaumaris Library, Hen Ysgol David Hughes, Beaumaris, Anglesey, LL58 8AL, Wales",http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/beaumaris-library/,mailto:ddxlh@anglesey.gov.uk,,
Benllech Library,W06000001,LL74 8TF,"Benllech Library, Ffordd Bangor, Benllech, Anglesey, LL74 8TF, Wales",http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/benllech-library/,mailto:dcxlh@anglesey.gov.uk,,
Cemaes Library,W06000001,LL67 0HN,"Cemaes Library, Lôn Glascoed, Cemaes, Anglesey, LL67 0HN, Wales",http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/cemaes-library/,mailto:kcxlh@anglesey.gov.uk,,
Holyhead Library,W06000001,LL65 1HH,Holyhead LibraryMarket HallStanley StreetHolyhead LL65 1HH,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/holyhead-library/,mailto:kpxlh@anglesey.gov.uk,,
Llangefni Library,W06000001,LL77 7RT,"Llangefni Library, Lôn-y-Felin, Llangefni, Anglesey, LL77 7RT, Wales",http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/llangefni-library/,mailto:libraries@ynysmon.gov.uk,,
Menai Bridge Library,W06000001,LL59 5AS,"Menai Bridge Library, Ffordd y Ffair, Porthaethwy, Anglesey, LL59 5AS, Wales",http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/menai-bridge-library/,mailto:dbxlh@anglesey.gov.uk,,
Moelfre Library,W06000001,LL72 8HA,"Moelfre Library, Y Ganolfan, Moelfre, Anglesey, LL72 8HA, Wales",http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/moelfre-library/,mailto:dfxlh@anglesey.gov.uk,,
Newborough Library,W06000001,,"Newborough Library, Prichard Jones Institute, Newborough, Anglesey, LL61 6SY, Wales",http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/newborough-library/,mailto:dexlh@anglesey.gov.uk,,
Rhosneigr Library,W06000001,LL64 5UX,"Rhosneigr Library, High Street,   Rhosneigr,  Anglesey,  LL64 5UX,  Wales",http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/rhosneigr-library/,mailto:kdxlh@anglesey.gov.uk,,
