Local authority code,Library name,Address 1,Address 2,Address 3,Postcode,Type of library,Statutory,Year opened,Year closed,URL,Email address
W06000001,Amlwch Library,Ffordd Parys,Amlwch,Anglesey,LL68 9EA,LAL,True,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/amlwch-library/,mailto:kbxlh@anglesey.gov.uk
W06000001,Beaumaris Library,Hen Ysgol David Hughes,Beaumaris,Anglesey,LL58 8AL,LAL,True,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/beaumaris-library/,mailto:ddxlh@anglesey.gov.uk
W06000001,Benllech Library,Ffordd Bangor,Benllech,Anglesey,LL74 8TF,LAL,True,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/benllech-library/,mailto:dcxlh@anglesey.gov.uk
W06000001,Cemaes Library,Lôn Glascoed,Cemaes,Anglesey,LL67 0HN,LAL,True,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/cemaes-library/,mailto:kcxlh@anglesey.gov.uk
W06000001,Holyhead Library,,,,LL65 1HH,LAL,True,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/holyhead-library/,mailto:kpxlh@anglesey.gov.uk
W06000001,Llangefni Library,Lôn-y-Felin,Llangefni,Anglesey,LL77 7RT,LAL,True,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/llangefni-library/,mailto:libraries@ynysmon.gov.uk
W06000001,Menai Bridge Library,Ffordd y Ffair,Porthaethwy,Anglesey,LL59 5AS,LAL,True,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/menai-bridge-library/,mailto:dbxlh@anglesey.gov.uk
W06000001,Moelfre Library,Y Ganolfan,Moelfre,Anglesey,LL72 8HA,LAL,True,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/moelfre-library/,mailto:dfxlh@anglesey.gov.uk
W06000001,Newborough Library,Prichard Jones Institute,Newborough,Anglesey,LL61 6SY,LAL,True,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/newborough-library/,mailto:dexlh@anglesey.gov.uk
W06000001,Rhosneigr Library,High Street,Rhosneigr,Anglesey,LL64 5UX,LAL,True,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/rhosneigr-library/,mailto:kdxlh@anglesey.gov.uk
W06000002,Bala Library,Campws Y Berwyn Campus,Ffrydan Rd,Bala,LL23 7RU,LAL,True,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Bala-library.aspx,mailto:LLBala@gwynedd.llyw.cymru
W06000002,Bangor Library,Gwynedd Road,Bangor,Gwynedd,LL57 1DT,LAL,True,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Bangor-library.aspx,mailto:LLBangor@gwynedd.llyw.cymru
W06000002,Barmouth Library,Station Road,Barmouth,Gwynedd,LL42 1LU,LAL,True,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Barmouth-Library.aspx,mailto:LLAbermaw@gwynedd.llyw.cymru
W06000002,Bethesda Library,Ffordd Coetmor,Bethesda,Gwynedd,LL57 3DP,LAL,True,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Bethesda-library.aspx,mailto:LLBethesda@gwynedd.llyw.cymru
W06000002,Blaenau Ffestiniog Library,Canolfan Maenofferen,Blaenau Ffestiniog,Gwynedd,LL41 3DL,LAL,True,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Blaenau-Ffestiniog-library.aspx,mailto:LLBlaenau@gwynedd.llyw.cymru
W06000002,Caernarfon Library,Pavilion Hill,Caernarfon,Gwynedd,LL55 1AS,LAL,True,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Caernarfon-library.aspx,mailto:LLCaernarfon@gwynedd.llyw.cymru
W06000002,Criccieth Library,High Street,Cricieth,Gwynedd,LL52 0RN,LAL,True,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Cricieth-library.aspx,mailto:LLCriccieth@gwynedd.llyw.cymru
W06000002,Deiniolen Library,High Street,Deiniolen,Caernarfon,LL55 3HR,LAL,True,,,,
W06000002,Dolgellau Library,Ffordd y Bala,Dolgellau,Gwynedd,LL40 2YF,LAL,True,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Dolgellau-library.aspx,mailto:LLDolgellau@gwynedd.llyw.cymru
W06000002,Harlech Library,2 Bron Y Graig,Harlech,,LL46 2SW,LAL,True,,,,
W06000002,Llanberis Library,Capel-Coch Road,Llanberis,Caernarfon,LL55 4SH,LAL,True,,,,
W06000002,Nefyn Library,Rhodfa'r Môr,Nefyn,Gwynedd,LL53 6EB,LAL,True,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Nefyn-library.aspx,mailto:LLNefyn@gwynedd.llyw.cymru
W06000002,Penrhyndeudraeth Library,Llys Deudraeth,Penrhyndeudraeth,,LL48 6BL,LAL,True,,,,
W06000002,Penygroes Library,Canolfan Dechnoleg Dyffryn Nantlle,Heol Y Dwr,Penygroes,LL54 6LR,LAL,True,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Penygroes-library.aspx,mailto:LLPenygroes@gwynedd.llyw.cymru
W06000002,Porthmadog Library,Healthy Lifestyles Centre and Library - Glaslyn,Stryd y Llan,Porthmadog,LL49 9HW,LAL,True,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Porthmadog-library.aspx,mailto:LLPorthmadog@gwynedd.llyw.cymru
W06000002,Pwllheli Library,Neuadd Dwyfor,Stryd Penlan,Pwllheli,LL53 5DE,LAL,True,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Pwllheli-library.aspx,mailto:LLPwllheli@gwynedd.llyw.cymru
W06000002,Tywyn Library,Neptune Road,Tywyn,Gwynedd,LL36 9HA,LAL,True,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Tywyn-library.aspx,mailto:LLTywyn@gwynedd.llyw.cymru
W06000003,Abergele Library,Market Street,Abergele,Conwy,LL22 7BP,LAL,True,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Abergele-Library.aspx,mailto:abergele.library@conwy.gov.uk
W06000003,Cerrigydrudion Library,King Street,Cerrigydrudion,Corwen,LL21 9TF,LAL,True,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Cerrigydrudion-Library.aspx,mailto:cerrig.library@conwy.gov.uk
W06000003,Colwyn Bay Library,Woodland Road West,Colwyn Bay,Conwy,LL29 7DH,LAL,True,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Colwyn-Bay-Library.aspx,mailto:colwynbay.library@conwy.gov.uk
W06000003,Conwy Library,Civic Hall,Castle Street,Conwy,LL32 8AY,LAL,True,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Conwy-Library.aspx,mailto:conwy.library@conwy.gov.uk
