Library name,Address 1,Address 2,Address 3,Postcode,URL
AK Bell Library,York Place,,Perth,PH2 8EP,http://www.culturepk.org.uk/your-local-library/ak-bell-library/
Aberchirder Library,111 Main Street ,,Huntly,AB54 7TB,https://www.aberdeenshire.gov.uk/libraries/
Aberdeen Central Library,Rosemount Viaduct,,Aberdeen,AB25 1GW,http://www.aberdeencity.gov.uk/Library_Service/Services/lib_communitylibraries.asp
Aberdour Library,Aberdour Community Centre,,9 Shore Road,KY3 0TR,http://onfife.com/venues/aberdour-library
Aberlour Library,94 High Street,,Aberlour,AB38 9QA,http://www.moray.gov.uk/moray_standard/page_39958.html
Aboyne Library,Community Centre,,Bridgeview Road,AB34 5JN,https://www.aberdeenshire.gov.uk/libraries/
Abronhill Library,17 Pine Road,,Cumbernauld,G67 3BE,https://culturenl.co.uk/libraries/your-library/abronhill-library/
Achilltibuie Library,Coigach Community Hall, Achiltibuie IV26 2YG,,IV26 2YG,https://www.highlifehighland.com/libraries/achiltibuie-library/
Airdrie Library,Wellwynd ,,Airdrie,ML6 0AG,https://culturenl.co.uk/libraries/your-library/airdrie-library/
Airyhall Library,Springfield Road,,Aberdeen,AB15 7RF,http://www.aberdeencity.gov.uk/Library_Service/Services/lib_communitylibraries.asp
Alexandria Library,Gilmour Street,,Alexandria,G83 0DA,http://www.west-dunbarton.gov.uk/libraries/library-branches/alexandria-library/
Alford Library,Alford Community Campus,,Greystone Road ,AB33 8TY,https://www.aberdeenshire.gov.uk/libraries/
Alloa Speirs Centre,Primrose Place,,Alloa,FK10 1AD,http://www.clacksweb.org.uk/culture/alloaspeirscentre/
Alloway Library,Doonholm Road,,Ayr,KA7 4QQ,https://www.south-ayrshire.gov.uk/libraries/branches/alloway-library.aspx
Almondbank Library,Almondbank Centre,,Shiel Walk,EH54 5EH,https://www.westlothian.gov.uk/article/2096/Almondbank-Library-Craigshill
Alness Library,High St,,Alness ,IV17 0QB,https://www.highlifehighland.com/libraries/alness-library/
Alva Community Centre Access Point,153 West Stirling Street,,Alva,FK12 5AN,http://www.clacksweb.org.uk/culture/alvacap/
Alyth Library,Airlie Street,,Alyth,PH11 8AJ,http://www.culturepk.org.uk/your-local-library/alyth-library/
Annan Library,Charles Street ,,Annan,DG12 5AG,http://www.dumgal.gov.uk/article/15393/DG-Customer-Services---Annan-Library
Anniesland Library,833 Crow Road,,Glasgow ,G13 1LE,http://www.glasgowlife.org.uk/libraries/your-local-library/anniesland-library/Pages/home.aspx
Arbroath Library,Hill Terrace ,,Arbroath,DD11 1AH,http://www.angus.gov.uk/libraries
Ardersiere Library,Station Road,,Inverness,IV2 7SU,https://www.highlifehighland.com/libraries/ardersier-library/
